uuid	name	version	shell_versions	url	location
Bluetooth-Battery-Meter@maniacx.github.com	Bluetooth Battery Meter	49	46,47,48,49,50,51	https://github.com/maniacx/Bluetooth-Battery-Meter	~/.local/share/gnome-shell/extensions/Bluetooth-Battery-Meter@maniacx.github.com
Vitals@CoreCoding.com	Vitals	85	45,46,47,48,49,50,51	https://github.com/corecoding/Vitals	~/.local/share/gnome-shell/extensions/Vitals@CoreCoding.com
add-to-desktop@tommimon.github.com	Add to Desktop	16	45,46,47,48,49,50	https://github.com/Tommimon/add-to-desktop	~/.local/share/gnome-shell/extensions/add-to-desktop@tommimon.github.com
advanced-media-controller@sanjai.com	Advanced Media Controller	31	45,46,47,48,49,50	https://codeberg.org/sanjai-shaarugesh/Advanced-media-controller	~/.local/share/gnome-shell/extensions/advanced-media-controller@sanjai.com
apps-menu@gnome-shell-extensions.gcampax.github.com	Apps Menu		50	https://gitlab.gnome.org/GNOME/gnome-shell-extensions	/usr/share/gnome-shell/extensions/apps-menu@gnome-shell-extensions.gcampax.github.com
arcmenu@arcmenu.com	ArcMenu	74	45,46,47,48,49,50,51	https://gitlab.com/arcmenu/ArcMenu	~/.local/share/gnome-shell/extensions/arcmenu@arcmenu.com
background-logo@fedorahosted.org	Background Logo		50	https://forge.fedoraproject.org/workstation/background-logo-extension	/usr/share/gnome-shell/extensions/background-logo@fedorahosted.org
blur-my-shell@aunetx	Blur my Shell	72	46,47,48,49,50	https://github.com/aunetx/blur-my-shell	~/.local/share/gnome-shell/extensions/blur-my-shell@aunetx
browser-switcher@totoshko88.github.io	Browser Switcher	17	45,46,47,48,49,50	https://github.com/totoshko88/browser-switcher	~/.local/share/gnome-shell/extensions/browser-switcher@totoshko88.github.io
caffeine@patapon.info	Caffeine	60	45,46,47,48,49,50	https://github.com/eonpatapon/gnome-shell-extension-caffeine	~/.local/share/gnome-shell/extensions/caffeine@patapon.info
clipboard-indicator@tudmotu.com	Clipboard Indicator	71	46,47,48,49,50	https://github.com/Tudmotu/gnome-shell-extension-clipboard-indicator	~/.local/share/gnome-shell/extensions/clipboard-indicator@tudmotu.com
ddterm@amezin.github.com	ddterm	73	46,47,48,49,50	https://github.com/ddterm/gnome-shell-extension-ddterm	~/.local/share/gnome-shell/extensions/ddterm@amezin.github.com
dhruva@narkagni	Dhruva	17	45,46,47,48,49,50,51	https://github.com/narkagni/dhruva	~/.local/share/gnome-shell/extensions/dhruva@narkagni
ding@rastersoft.com	Desktop Icons NG (DING)	97	50	https://gitlab.com/rastersoft/desktop-icons-ng	~/.local/share/gnome-shell/extensions/ding@rastersoft.com
display-brightness-ddcutil@themightydeity.github.com	Brightness control using ddcutil	59	49,50	https://github.com/daitj/gnome-display-brightness-ddcutil	~/.local/share/gnome-shell/extensions/display-brightness-ddcutil@themightydeity.github.com
drive-menu@gnome-shell-extensions.gcampax.github.com	Removable Drive Menu	82	50	https://gitlab.gnome.org/GNOME/gnome-shell-extensions	~/.local/share/gnome-shell/extensions/drive-menu@gnome-shell-extensions.gcampax.github.com
gsconnect@andyholmes.github.io	GSConnect	73	46,47,48,49,50	https://github.com/GSConnect/gnome-shell-extension-gsconnect/wiki	~/.local/share/gnome-shell/extensions/gsconnect@andyholmes.github.io
just-another-search-bar@xelad0m	Just Another Search Bar	18	45,46,47,48,49,50	https://github.com/xelad0m/just-another-search-bar	~/.local/share/gnome-shell/extensions/just-another-search-bar@xelad0m
just-perfection-desktop@just-perfection	Just Perfection	37	45,46,47,48,49,50,51	https://gitlab.gnome.org/jrahmatzadeh/just-perfection	~/.local/share/gnome-shell/extensions/just-perfection-desktop@just-perfection
launch-new-instance@gnome-shell-extensions.gcampax.github.com	Launch New Instance		50	https://gitlab.gnome.org/GNOME/gnome-shell-extensions	/usr/share/gnome-shell/extensions/launch-new-instance@gnome-shell-extensions.gcampax.github.com
monitorSmartSaver@pic16f877ccs.github.com	Monitor Smart Saver	3	47,48,49,50	https://github.com/pic16f877ccs/Monitor-smart-saver	~/.local/share/gnome-shell/extensions/monitorSmartSaver@pic16f877ccs.github.com
places-menu@gnome-shell-extensions.gcampax.github.com	Places Status Indicator		50	https://gitlab.gnome.org/GNOME/gnome-shell-extensions	/usr/share/gnome-shell/extensions/places-menu@gnome-shell-extensions.gcampax.github.com
space-bar@luchrioh	Space Bar	39	50	https://github.com/christopher-l/space-bar	~/.local/share/gnome-shell/extensions/space-bar@luchrioh
spotlight@nin	Spotlight	15	45,46,47,48,49,50,51	https://github.com/itsnin/spotlight	~/.local/share/gnome-shell/extensions/spotlight@nin
tilingshell@ferrarodomenico.com	Tiling Shell	76	45,46,47,48,49,50	https://github.com/domferr/tilingshell	~/.local/share/gnome-shell/extensions/tilingshell@ferrarodomenico.com
user-theme@gnome-shell-extensions.gcampax.github.com	User Themes	79	50	https://gitlab.gnome.org/GNOME/gnome-shell-extensions	~/.local/share/gnome-shell/extensions/user-theme@gnome-shell-extensions.gcampax.github.com
